mode,scale,individual,time_sec
core_only,51,0,2.1525349617004395
core_only,51,1,2.1451103687286377
core_only,51,2,2.1480090618133545
core_only,71,0,3.2504398822784424
core_only,71,1,3.230219841003418
core_only,71,2,3.2474076747894287
core_only,91,0,4.5559773445129395
core_only,91,1,4.81632399559021
core_only,91,2,4.554552316665649
core_only,111,0,7.15497612953186
core_only,111,1,7.14056921005249
core_only,111,2,7.121877431869507
full_with_detection,51,0,5.76195216178894
full_with_detection,51,1,5.745012044906616
full_with_detection,51,2,5.765458106994629
full_with_detection,71,0,8.521765232086182
full_with_detection,71,1,8.562373876571655
full_with_detection,71,2,8.516861915588379
full_with_detection,91,0,11.7499840259552
full_with_detection,91,1,11.73025894165039
full_with_detection,91,2,11.64281177520752
full_with_detection,111,0,18.04770255088806
full_with_detection,111,1,18.156830549240112
full_with_detection,111,2,18.111458778381348
