model,scale,elapsed_time,iterations,improvement,num_nodes,num_edges,avg_energy,q_table_sparsity,q_table_non_zero,compression_centers,migration_bridges,compression_frequency,migration_frequency
random,51,4.665294170379639,10000,-61.69818530473346,51.0,0.0,2.233013398110137,,,,,,
qlearning,51,2.6016173362731934,10000,14.516926015602886,51.0,0.0,0.8362918152676381,0.8139177239523261,1452.0,,,,
traditional,51,39.1369423866272,10000,22.788192918913733,,,,,,11.0,3.0,,
emergence,51,9.639480352401733,10000,86.85484859010764,,,,,,471.0,0.0,0.0,0.0
random,71,6.94870924949646,10000,-31.550969174816178,71.0,0.0,1.8323578133819558,,,,,,
qlearning,71,3.955115795135498,10000,7.327317609762317,71.0,0.0,0.9104932910778775,0.8139258083713549,2814.0,,,,
traditional,71,62.98236703872681,10000,15.534651395552338,,,,,,6.0,1.0,,
emergence,71,14.158868074417114,10000,72.29338902220671,,,,,,332.0,3.0,0.0,0.0
random,91,10.240979194641113,10000,-18.199752924924418,91.0,0.0,1.650851766377915,,,,,,
qlearning,91,4.633531808853149,10000,4.0026902551713945,91.0,0.0,0.9521168282542695,0.8065451032483999,4806.0,,,,
traditional,91,83.81939625740051,10000,12.155991927388369,,,,,,4.0,4.0,,
emergence,91,17.339170932769775,10000,61.445510157160186,,,,,,301.0,3.0,0.0,0.0
random,111,12.793246030807495,10000,-12.854385219577932,111.0,0.0,1.5785157968019388,,,,,,
qlearning,111,4.6111674308776855,10000,2.8933908053880373,111.0,0.0,0.9678553542789179,0.8013148283418554,7344.0,,,,
traditional,111,130.58523154258728,10000,7.5621566136868505,,,,,,5.0,5.0,,
emergence,111,23.840895652770996,10000,47.91721216104601,,,,,,43.0,1.0,0.0,0.0
